Title,Year,IMDb ID,Director,Rating,Votes,Box Office,Budget,Genres,Actors,Languages,Countries
Trespass Against Us,2016.0,3305308,Adam Smith,5.8,9393.0,,,"Action, Crime, Drama, Thriller","Michael Fassbender, Brendan Gleeson, Lyndsey Marshal, Georgie Smith, Rory Kinnear, Killian Scott, Sean Harris, Kingsley Ben-Adir, Kacie Anderson, Gerard Kearns",English,United Kingdom
Maximum Ride,2016.0,825283,Jay Martin,3.6,4733.0,,,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Thriller","Allie Marie Evans, Patrick Johnson, Lyliana Wray, Luke Gregory Crosby, Gavin Lewis, Tetona Jackson, Zayne Emory, Carrie Alexander, Lillie Jacobs, Zander Faden",English,United States
Elle,2016.0,3716530,Paul Verhoeven,7.1,72649.0,"$1,389,814, 16 Jan 2017","EUR9,000,000 (estimated)","Crime, Drama, Thriller","Isabelle Huppert, Laurent Lafitte, Anne Consigny, Charles Berling, Virginie Efira, Judith Magre, Christian Berkel, Jonas Bloquet, Alice Isaaz, Vimala Pons",French,"France, Germany, Belgium"
Pandemic,2016.0,3774802,John Suits,4.4,8604.0,,,"Action, Horror, Sci-Fi, Thriller","Rachel Nichols, Alfie Allen, Missi Pyle, Mekhi Phifer, Paul Guilfoyle, Danielle Rose Russell, Pat Healy, Robert Lewis Stephenson, Amanda Baker, Sara Tomko",English,United States
The Mountain II,2016.0,5813916,Alper Caglar,8.2,111353.0,"$11,378,898","TRL2,000,000 (estimated)","Action, Drama, War","Caglar Ertugrul, Ufuk Bayraktar, Ahu Türkpençe, Murat Serezli, Atilgan Gümüs, Murat Arkin, Armagan Oguz, Ahmet Pinar, Açelya Özcan, Bedii Akin",Turkish,Turkey
Barbershop: The Next Cut,2016.0,3628584,Malcolm D. Lee,5.9,16549.0,"$55,030,051","$20,000,000 (estimated)","Comedy, Drama","Ice Cube, Cedric The Entertainer, Regina Hall, Sean Patrick Thomas, Eve, Anthony Anderson, Jazsmin Lewis, J.B. Smoove, Common, Nicki Minaj",English,United States
The Shallows,2016.0,4052882,Jaume Collet-Serra,6.3,148533.0,"$119,100,758","$17,000,000 (estimated)","Drama, Horror, Thriller","Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Joseph Salas, Brett Cullen, Sedona Legge, Pablo Calva, Diego Espejel, Janelle Bailey, Ava Dean","English, Spanish",United States
Up for Love,2016.0,4699388,Laurent Tirard,6.3,9544.0,,,"Comedy, Romance","Jean Dujardin, Virginie Efira, Cédric Kahn, Stéphanie Papanian, César Domboy, Edmonde Franchi, Manoëlle Gaillard, Bruno Gomila, Camille Damour, François-Dominique Blin","French, English",France
Raw,2016.0,4954522,Julia Ducournau,6.9,92763.0,,"EUR3,500,000 (estimated)","Drama, Horror","Garance Marillier, Ella Rumpf, Rabah Nait Oufella, Laurent Lucas, Joana Preiss, Bouli Lanners, Marion Vernoux, Thomas Mustin, Marouan Iddoub, Jean-Louis Sbille",French,"France, Belgium"
Terra Formars,2014.0,3894916,,6.4,1380.0,,,"Animation, Action, Horror, Sci-Fi","Erica Lindbeck, Ben Diskin, Max Mittelman, Kirk Thornton, Stephanie Sheh, Cindy Robinson, Christopher Corey Smith, Chris Niosi, Steve Staley, Peter Lurie",Japanese,Japan
From the Land of the Moon,2016.0,3794028,Nicole Garcia,6.6,6912.0,,"EUR10,300,000 (estimated)","Drama, Romance","Marion Cotillard, Louis Garrel, Alex Brendemühl, Brigitte Roüan, Victoire Du Bois, Aloïse Sauvage, Daniel Para, Jihwan Kim, Victor Quilichini, Ange Black-Bereyziat","French, Spanish, German","France, Belgium, Canada, Spain"
Now You See Me 2,2016.0,3110958,Jon M. Chu,6.4,334623.0,"$334,901,337","$90,000,000 (estimated)","Action, Adventure, Comedy, Crime, Mystery, Thriller","Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco, Daniel Radcliffe, Lizzy Caplan, Jay Chou, Sanaa Lathan, Michael Caine, Morgan Freeman","English, Mandarin, Cantonese","United States, Hong Kong"
Sully,2016.0,3263904,Clint Eastwood,7.4,309369.0,"$240,797,623","$60,000,000 (estimated)","Biography, Drama","Tom Hanks, Aaron Eckhart, Valerie Mahaffey, Delphi Harrington, Mike O'Malley, Jamey Sheridan, Anna Gunn, Holt McCallany, Ahmed Lucan, Laura Linney",English,United States
Mine,2016.0,3707104,"Fabio Guaglione, Fabio Resinaro",5.8,22209.0,"$1,788,934",,"Drama, Thriller, War","Armie Hammer, Annabelle Wallis, Tom Cullen, Clint Dyer, Geoff Bell, Juliet Aubrey, Inés Píñar Mille, Luka Peros, Daniel Sandoval, Agustín Rodríguez",English,"United States, Spain, Italy"
Flight Crew,2016.0,5653294,Nikolay Lebedev,6.6,6241.0,,"$10,000,000 (estimated)","Action, Adventure, Drama","Danila Kozlovsky, Vladimir Mashkov, Agne Grudyte, Sergey Kempo, Katerina Shpitsa, Sergey Shakurov, Sergey Gazarov, Elena Yakovleva, Alyona Babenko, Sergey Romanovich","English, French, Russian","Russia, Cambodia"
Bad Moms,2016.0,4651520,"Jon Lucas, Scott Moore",6.2,137772.0,"$183,936,074","$20,000,000 (estimated)",Comedy,"Mila Kunis, Kathryn Hahn, Kristen Bell, Christina Applegate, Jada Pinkett Smith, Annie Mumolo, Oona Laurence, Emjay Anthony, David Walton, Clark Duke",English,"United States, China"
Money Monster,2016.0,2241351,Jodie Foster,6.5,108756.0,"$93,466,095","$27,000,000 (estimated)","Action, Crime, Drama, Mystery, Thriller","George Clooney, Julia Roberts, Jack O'Connell, Dominic West, Caitríona Balfe, Giancarlo Esposito, Christopher Denham, Lenny Venito, Chris Bauer, Dennis Boutsikaris","English, Korean, Icelandic, Russian",United States
The Conjuring 2,2016.0,3065204,James Wan,7.3,315486.0,"$320,392,818","$40,000,000 (estimated)","Horror, Mystery, Thriller","Patrick Wilson, Vera Farmiga, Madison Wolfe, Frances O'Connor, Lauren Esposito, Benjamin Haigh, Patrick McAuley, Simon McBurney, Maria Doyle Kennedy, Simon Delaney",English,"Canada, United States, United Kingdom"
The Witch,2015.0,4263482,Robert Eggers,7.0,327853.0,"$40,429,635","$3,500,000 (estimated)","Drama, Fantasy, Horror, Mystery, Thriller","Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Harvey Scrimshaw, Ellie Grainger, Lucas Dawson, Julian Richings, Bathsheba Garnett, Sarah Stephens, Daniel Malik",English,"United States, Canada, United Kingdom"
"Tiger, Blood in the Mouth",2016.0,4791322,Hernán Belón,5.5,1206.0,,,"Drama, Sport","Leonardo Sbaraglia, Eva De Dominici, Erica Banchi, Osmar Núñez, Claudio Rissi, Benicio Mutti Spinetta, Camila Zolezzi, Aldo Onofri, Richard Wagener, Diego Chavez",Spanish,"Argentina, Italy"
Blood Father,2016.0,3647498,Jean-François Richet,6.4,69011.0,,"$13,000,000 (estimated)","Action, Crime, Drama, Thriller","Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks, William H. Macy, Miguel Sandoval, Dale Dickey, Richard Cabral, Daniel Moncada, Ryan Dorsey","English, Spanish","France, United States"
The Founder,2016.0,4276820,John Lee Hancock,7.2,189674.0,"$24,403,192","$25,000,000 (estimated)","Biography, Drama","Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini, B.J. Novak, Laura Dern, Justin Randell Brooke, Kate Kneeland, Patrick Wilson, Griff Furst","English, Yiddish",United States
Pride and Prejudice and Zombies,2016.0,1374989,Burr Steers,5.8,61965.0,"$16,457,494","$11,000,000 (estimated)","Action, Comedy, Fantasy, Horror, Romance","Lily James, Sam Riley, Bella Heathcote, Ellie Bamber, Millie Brady, Suki Waterhouse, Douglas Booth, Sally Phillips, Charles Dance, Jack Huston","English, Japanese, Chinese","United States, United Kingdom"
Max Steel,2016.0,1472584,Stewart Hendler,4.6,21041.0,"$6,272,403","$10,000,000 (estimated)","Action, Adventure, Fantasy, Sci-Fi","Ben Winchell, Josh Brener, Maria Bello, Andy Garcia, Ana Villafañe, Mike Doyle, Phillip DeVona, Billy Slaughter, Al Mitchell, Lawrence Kao",English,"United Kingdom, United States"
Middle School: The Worst Years of My Life,2016.0,4981636,Steve Carr,6.1,10347.0,"$20,611,649, 27 Nov 2016","$8,500,000 (estimated)","Comedy, Family","Griffin Gluck, Lauren Graham, Alexa Nisenson, Andy Daly, Thomas Barbusca, Retta, Adam Pally, Luke Christopher, Jessi Goei, Jacob Hopkins","English, Khmer, Spanish",United States
Bleed for This,2016.0,1620935,Ben Younger,6.8,32034.0,,"$6,000,000 (estimated)","Biography, Drama, Sport","Miles Teller, Aaron Eckhart, Katey Sagal, Ciarán Hinds, Ted Levine, Jordan Gelber, Amanda Clayton, Daniel Sauli, Christine Evangelista, Tina Casciani","English, French",United States
Anthropoid,2016.0,4190530,Sean Ellis,7.2,56470.0,,,"Action, Drama, History, Romance, Thriller, War","Jamie Dornan, Cillian Murphy, Brian Caspe, Karel Hermánek Jr., Sára Arnsteinová, Hana Frejková, Sean Mahon, Jan Hájek, Marcin Dorocinski, Toby Jones","English, Czech, German","United Kingdom, France, United States, Czechia"
Mother's Day,2016.0,4824302,Garry Marshall,5.6,41029.0,,"$25,000,000 (estimated)","Comedy, Drama, Romance","Jennifer Aniston, Timothy Olyphant, Shay Mitchell, Caleb Brown, Brandon Spink, Sam Marshall, Siena LaGambina, Joseph Leo Bwarie, Matthew Walker, Suzanne Haring","English, Spanish",United States
Zootopia,2016.0,2948356,"Byron Howard, Rich Moore, Jared Bush",8.0,573518.0,"$1,023,784,195","$150,000,000 (estimated)","Animation, Action, Adventure, Comedy, Crime, Family, Mystery","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence, Bonnie Hunt, Don Lake, Tommy Chong, J.K. Simmons, Octavia Spencer",English,United States
Hidden Kisses,2016.0,5572566,Didier Bivel,7.3,5489.0,,,Drama,"Patrick Timsit, Barbara Schulz, Bruno Putzulu, Bérenger Anceaux, Jules Houplain, Natacha Jasmine Djidel, Lisa Kramarz, Nicolas Carpentier, Fabrice Lelyon, Selim Clayssen",French,France
The Gigolo 2,2016.0,5474114,Kwok-Man Keung,4.1,380.0,,,Comedy,"Dominic Ho, Connie Man, Tsz Sin Lam, Iris Chung, Leslie Lam, Teresa Mak, Hazel Tong, Winnie Leung, Tony Ho, Sammy Leung","Cantonese, Mandarin",Hong Kong
Assassination Classroom: The Graduation,2016.0,4641264,Eiichirô Hasumi,5.7,974.0,,,"Action, Adventure, Comedy, Sci-Fi","Kanna Hashimoto, Masaki Suda, Ryôsuke Yamada, Kazunari Ninomiya, Mirei Kiritani, Kippei Shîna, Tsuyoshi Abe, Maika Yamamoto, Kang Ji-young, Takeo Nakahara",Japanese,Japan
Demolition,2015.0,1172049,Jean-Marc Vallée,7.0,120436.0,,"$10,000,000 (estimated)","Comedy, Drama","Jake Gyllenhaal, Naomi Watts, Chris Cooper, Judah Lewis, C.J. Wilson, Polly Draper, Malachy Cleary, Debra Monk, Heather Lind, Wass Stevens",English,United States
P.S. Girls,2016.0,8969990,Seok-ho Won,6.5,41.0,,,"Drama, Romance, Thriller","Lee Chang-Yong, Baek Da-eun, Lee Eun-mi, Park Eun-Young, Kwon Hae-sung, Ham Min-ji",Korean,South Korea
Sing Sing,2023.0,28479262,Greg Kwedar,7.7,15258.0,,,Drama,"Colman Domingo, Clarence Maclin, Sean San Jose, Paul Raci, David Giraudy, Patrick Griffin, Mosi Eagle, James Williams, Sean Dino Johnson, Brent Buell",English,United States
Denial,2016.0,4645330,Mick Jackson,6.8,24302.0,,"$10,000,000 (estimated)","Biography, Drama","Rachel Weisz, Tom Wilkinson, Timothy Spall, Andrew Scott, Jack Lowden, Caren Pistorius, Alex Jennings, Harriet Walter, Mark Gatiss, John Sessions","English, German, Hebrew","United Kingdom, United States, Poland"
Florence Foster Jenkins,2016.0,4136084,Stephen Frears,6.8,60845.0,"$56,000,339","$29,000,000 (estimated)","Biography, Comedy, Drama, Music","Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson, Nina Arianda, Stanley Townsend, Allan Corduner, Christian McKay, David Haig, John Sessions","English, German, Italian, Russian","United Kingdom, France"
Pele: Birth of a Legend,2016.0,995868,"Jeff Zimbalist, Michael Zimbalist",7.1,21891.0,,,"Biography, Drama, Sport","Kevin de Paula, Leonardo Lima Carvalho, Seu Jorge, Mariana Nunes, Milton Gonçalves, Seth Michaels, Vincent D'Onofrio, André Mattos, Phil Miler, Rafael Henriques","English, Portuguese, Swedish",United States
The Huntsman: Winter's War,2016.0,2381991,Cedric Nicolas-Troyan,6.1,122993.0,"$165,536,477","$115,000,000 (estimated)","Action, Adventure, Drama, Fantasy, Romance, Sci-Fi, War","Chris Hemsworth, Charlize Theron, Jessica Chastain, Emily Blunt, Nick Frost, Rob Brydon, Sheridan Smith, Alexandra Roach, Sope Dirisu, Sam Hazeldine",English,"United States, China"
Never Back Down: No Surrender,2016.0,4790268,Michael Jai White,6.3,7627.0,,"$3,000,000 (estimated)","Action, Sport","Michael Jai White, Gillian White, Esai Morales, Stephen Quadros, Nathan Jones, Amarin Cholvibul, Dan Renalds, JeeJa Yanin, Brahim Chab, Ron Smoorenburg",English,United States
"I, Daniel Blake",2016.0,5168192,Ken Loach,7.8,66464.0,,,Drama,"Dave Johns, Hayley Squires, Briana Shann, Dylan McKiernan, Kate Rutter, Sharon Percy, Kema Sikazwe, Magpie Richens, Amanda Payne, Chris McGlade",English,"United Kingdom, France, Belgium"
One Piece Film Gold,2024.0,34471447,,,,,,,,,
Lego DC Comics Superheroes: Justice League - Gotham City Breakout,2016.0,5612702,"Matt Peters, Melchior Zwyer",6.0,1886.0,,,"Animation, Action, Adventure, Comedy, Family, Sci-Fi","Troy Baker, Eric Bauza, Greg Cipes, John DiMaggio, Will Friedle, Grey Griffin, Amy Hill, Sarah Hyland, Tom Kenny, Vanessa Marshall",English,United States
Dark Crimes,2016.0,1901024,Alexandros Avranas,4.6,20779.0,,"EUR3,800,000 (estimated)","Crime, Drama, Mystery, Thriller","Jim Carrey, Marton Csokas, Charlotte Gainsbourg, Kati Outinen, Vlad Ivanov, Robert Wieckiewicz, Agata Kulesza, Piotr Glowacki, Julia Gdula, Zbigniew Zamachowski",English,"United States, Poland, United Kingdom"
Your Name.,2016.0,5311514,Makoto Shinkai,8.4,349099.0,"$357,986,087","JPY370,000,000 (estimated)","Animation, Drama, Fantasy, Romance","Ryûnosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yûki, Nobunaga Shimazaki, Kaito Ishikawa, Kanon Tani, Masaki Terasoma, Sayaka Ôhara, Kazuhiko Inoue",Japanese,Japan
Queen of Katwe,2016.0,4341582,Mira Nair,7.4,19262.0,"$10,367,161, 05 Jun 2017","$15,000,000 (estimated)","Biography, Drama, Sport","Madina Nalwanga, David Oyelowo, Lupita Nyong'o, Martin Kabanza, Taryn Kyaze, Ivan Jacobo, Nicolas Levesque, Ronald Ssemaganda, Ethan Nazario Lubega, Nikita Waligwa",English,United States
Assassination Classroom: 365 Days,2016.0,6475250,Seiji Kishi,5.5,649.0,,,Animation,"Felecia Angelle, Bryn Apprill, Didi Archilla, Z. Charles Bolton, Justin Briner, Chris Burnett, Patric Carroll, Clifford Chapin, Eric Cherry, Leah Clark",Japanese,Japan
Hidden Figures,2016.0,4846340,Theodore Melfi,7.8,270775.0,"$235,956,898","$25,000,000 (estimated)","Biography, Drama, History","Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Kirsten Dunst, Jim Parsons, Mahershala Ali, Aldis Hodge, Glen Powell, Kimberly Quinn",English,United States
Le clitoris,2016.0,7103560,Lori Malépart-Traversy,7.1,182.0,,,"Documentary, Animation, Short",,French,"France, Canada"
Siren,2018.0,5615700,,7.0,16375.0,,,"Drama, Fantasy, Horror","Alex Roe, Eline Powell, Fola Evans-Akingbola, Ian Verdun, Rena Owen, Curtis Lum, David Cubitt, Sarah-Jane Redmond, Hannah Levien, Millan Tesfazgi",English,United States
It,2017.0,1396484,Andy Muschietti,7.3,637418.0,"$700,381,748","$35,000,000 (estimated)",Horror,"Jaeden Martell, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard, Chosen Jacobs, Jack Dylan Grazer, Wyatt Oleff, Bill Skarsgård, Nicholas Hamilton, Jake Sim","English, Hebrew","United States, Canada"
Fantastic Beasts and Where to Find Them,2016.0,3183660,David Yates,7.2,522187.0,"$814,037,575","$180,000,000 (estimated)","Adventure, Family, Fantasy","Eddie Redmayne, Sam Redford, Scott Goldman, Tim Bentinck, Tristan Tait, Colin Farrell, Tom Clarke Hill, Matthew Sim, Katherine Waterston, Samantha Morton","English, Khmer","United Kingdom, United States, Canada"
Monster High: Welcome to Monster High,2016.0,5898034,"Stephen Donnelly, Olly Reid, Jun Falkenstein",5.5,836.0,,,"Animation, Fantasy","Debi Derryberry, Cassandra Lee Morris, Salli Saffioti, Larissa Gallagher, Cristina Milizia, Michael Sorich, Jonquil Goode, Travis Dresden, Evan Smith, Sara Cravens",English,United States
My Little Pony: Equestria Girls - Legend of Everfree,2016.0,5474644,Ishi Rudell,6.4,1917.0,,,"Animation, Comedy, Family, Fantasy, Musical","Tara Strong, Rebecca Shoichet, Ashleigh Ball, Andrea Libman, Tabitha St. Germain, Cathy Weseluck, Enid-Raye Adams, Brian Doe Chua, Nicole Oliver, Vincent Tong",English,"United States, Canada"
Don't Breathe,2016.0,4160708,Fede Alvarez,7.1,315456.0,"$159,047,649","$9,900,000 (estimated)","Crime, Horror, Thriller","Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto, Emma Bercovici, Franciska Töröcsik, Christian Zagia, Katia Bokor, Sergej Onopko, Olivia Gillies",English,"United States, Hungary"
War Dogs,2016.0,2005151,Todd Phillips,7.1,273857.0,"$86,234,523","$40,000,000 (estimated)","Biography, Comedy, Crime, Drama, War","Miles Teller, Steve Lantz, Gregg Weiner, David Packouz, Eddie Jemison, Julian Sergi, Daniel Berson, Jonah Hill, Edson Jean, Daimion Johnson","English, Arabic, Albanian, Romanian","United States, Romania"
Ben-Hur,1959.0,52618,William Wyler,8.1,260975.0,"$196,200,000","$15,900,000 (estimated)","Adventure, Drama","Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd, Hugh Griffith, Martha Scott, Cathy O'Donnell, Sam Jaffe, Finlay Currie, Frank Thring",English,United States
Neighbors 2: Sorority Rising,2016.0,4438848,Nicholas Stoller,5.7,133486.0,"$108,872,656","$35,000,000 (estimated)",Comedy,"Seth Rogen, Zac Efron, Rose Byrne, Chloë Grace Moretz, Ike Barinholtz, Kiersey Clemons, Dave Franco, Jerrod Carmichael, Christopher Mintz-Plasse, Beanie Feldstein",English,"United States, China"
Midnight Special,2016.0,2649554,Jeff Nichols,6.6,85332.0,,"$18,000,000 (estimated)","Drama, Mystery, Sci-Fi, Thriller","Michael Shannon, Joel Edgerton, Kirsten Dunst, Adam Driver, Jaeden Martell, Bill Camp, Scott Haze, Sam Shepard, Paul Sparks, David Jensen",English,United States
Norm of the North,2016.0,1594972,"Trevor Wall, Lisa Ortiz",3.4,10377.0,,"$7,000,000 (estimated)","Animation, Adventure, Comedy, Family","Rob Schneider, Heather Graham, Ken Jeong, Bill Nighy, Colm Meaney, Loretta Devine, Michael McElhatton, Maya Kay, Gabriel Iglesias, Salome Jens",English,"United States, India, Ireland, China"
Hush,2016.0,5022702,Mike Flanagan,6.6,161497.0,,"$1,000,000 (estimated)","Horror, Thriller","John Gallagher Jr., Kate Siegel, Michael Trucco, Samantha Sloyan, Emma Graves","English, American Sign Language",United States
Night of Something Strange,2016.0,3315380,Jonathan Straiton,4.7,2234.0,,"$40,000 (estimated)","Comedy, Horror","Trey Harrison, Rebecca C. Kasek, Wayne W. Johnson, Michael Merchant, Toni Ann Gambale, Nicola Fiore, John Walsh, Janet Mayson, Tarrence Taylor, Kera O'Bryon",English,"United States, Canada"
White Girl,2016.0,4129870,Elizabeth Wood,5.7,12107.0,,,"Crime, Drama","Morgan Saylor, Brian Marc, Justin Bartha, Chris Noth, Adrian Martinez, Bobbi Salvör Menuez, Anthony Ramos, Ralph Rodriguez, Annabelle Dexter-Jones, Eden Marryshow",English,United States
Ghostbusters,1984.0,87332,Ivan Reitman,7.8,467378.0,"$291,632,124","$30,000,000 (estimated)","Action, Comedy, Fantasy, Sci-Fi","Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis, Rick Moranis, Annie Potts, William Atherton, Ernie Hudson, David Margulies, Steven Tash",English,United States
Misconduct,2016.0,3658772,Shintaro Shimosawa,5.3,18365.0,,"$11,000,000 (estimated)","Crime, Drama, Mystery, Thriller","Josh Duhamel, Anthony Hopkins, Al Pacino, Alice Eve, Malin Akerman, Lee Byung-hun, Julia Stiles, Glen Powell, Marcus Lyle Brown, Leah McKendrick",English,United States
High Strung,2016.0,3451230,Michael Damian,6.3,10619.0,"$5,000,000, 13 Jan 2017",,"Drama, Music, Romance","Keenan Kampa, Nicholas Galitzine, Sonoya Mizuno, Jane Seymour, Richard Southgate, Paul Freeman, Marcus Emanuel Mitchell, Maia Morgenstern, Anabel Kutay, John Silver",English,"United States, Romania"
Barbie: Spy Squad,2016.0,5042436,"Michael Goguen, Conrad Helten",5.6,1488.0,,,"Animation, Family","Erica Lindbeck, Stephanie Sheh, Jenny Pellicer, Alyssya Swales, Elizabeth Irving, Brian Dobson, Rebecca Husain, Cathy Weseluck, Ian Hanlin, Jonathan Holmes",,"United States, Canada"
Captain America: Civil War,2016.0,3498820,"Anthony Russo, Joe Russo",7.8,881156.0,"$1,153,304,495","$250,000,000 (estimated)","Action, Sci-Fi","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen","English, German, Xhosa, Russian, Romanian","United States, Germany, Puerto Rico"
Operation Mekong,2016.0,6044910,Dante Lam,6.5,5499.0,"$173,128,787","$30,200,000 (estimated)","Action, Adventure, Crime, Drama, History, Thriller","Hanyu Zhang, Eddie Peng, Baoguo Chen, Chun Sun, Wenjuan Feng, Wai-Kwong Lo, Xudong Wu, Carl Ng, Jian Zhao, Mandy Wei","Mandarin, Cantonese, English, Thai, Burmese","China, Hong Kong"
The Girl on the Train,2016.0,3631112,Tate Taylor,6.5,204548.0,"$173,185,859","$45,000,000 (estimated)","Crime, Drama, Mystery, Thriller","Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux, Luke Evans, Edgar Ramírez, Laura Prepon, Allison Janney, Darren Goldstein, Lisa Kudrow","English, Spanish","United States, India"
Manchester by the Sea,2016.0,4034228,Kenneth Lonergan,7.8,328966.0,"$78,988,148","$8,500,000 (estimated)",Drama,"Casey Affleck, Ivy O'Brien, Kyle Chandler, Richard Donelly, Virginia Loring Cooke, Quincy Tyler Bernstine, Missy Yager, Stephen McKinley Henderson, Ben Hanson, Mary Mallen",English,United States
Zoolander 2,2016.0,1608290,Ben Stiller,4.7,78575.0,"$55,969,000","$50,000,000 (estimated)","Action, Adventure, Comedy, Mystery, Romance","Justin Bieber, Jon Daly, Penélope Cruz, Ben Stiller, Katie Couric, Amy Stiller, Charlotte Townsend, Christine Taylor, Jim Lehrer, Owen Wilson","English, Italian, Spanish","United States, Italy"
Asura,2016.0,5918028,Sung Soo Kim,6.7,3559.0,,,"Action, Crime, Thriller","Jung Woo-sung, Hwang Jung-min, Ju Ji-hoon, Kwak Do-won, Jeong Man-sik, Yun Ji-hye, Kim Hae-gon, Kim Won-hae, Oh Yeon-ah, Kim Jong-soo",Korean,South Korea
The BFG,2016.0,3691740,Steven Spielberg,6.3,96009.0,"$199,905,224","$140,000,000 (estimated)","Adventure, Family, Fantasy","Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement, Rebecca Hall, Rafe Spall, Bill Hader, Ólafur Darri Ólafsson, Adam Godley, Michael Adamthwaite","English, Hindi","United Kingdom, India, United States"
Penny Pincher!,2016.0,5253294,Fred Cavayé,5.9,6353.0,,"EUR11,516,833 (estimated)",Comedy,"Dany Boon, Laurence Arné, Noémie Schmidt, Patrick Ridremont, Christophe Canard, Christophe Favre, Karina Marimon, Stéphan Wojtowicz, Anne-Sophie Girard, Nicolas Lumbreras","French, Spanish","France, Spain"
Doraemon: Nobita and the Birth of Japan,1989.0,1147511,Tsutomu Shibayama,6.9,578.0,"$24,919,238",,"Animation, Adventure, Family, Fantasy, Sci-Fi","Nobuyo Ôyama, Noriko Ohara, Michiko Nomura, Kaneta Kimotsuki, Kazuya Tatekabe, Kazuyo Aoki, Naoki Bando, Chafûrin, Sachiko Chijimatsu, Issei Futamata",Japanese,Japan
The Disappointments Room,2016.0,2364897,D.J. Caruso,3.9,11101.0,,"$15,000,000 (estimated)","Drama, Horror, Thriller","Kate Beckinsale, Mel Raido, Duncan Joiner, Lucas Till, Michaela Conlin, Michael Landes, Marcia DeRousse, Celia Weston, Charles Carroll, Ella Jones",English,United States
Maudie,2016.0,3721954,Aisling Walsh,7.6,23793.0,,"EUR4,993,020 (estimated)","Biography, Drama, Romance","Sally Hawkins, Zachary Bennett, Gabrielle Rose, Lawrence Barry, Ethan Hawke, Greg Malone, Billy MacLellan, Kari Matchett, Marthe Bernard, David Feehan",English,"Canada, Ireland"
Skiptrace,2016.0,2238032,Renny Harlin,5.6,23024.0,"$136,577,495","$32,000,000 (estimated)","Action, Adventure, Comedy, Crime, Thriller","Jackie Chan, Johnny Knoxville, Bingbing Fan, Eric Tsang, Eve Torres, Winston Chao, Yeon Jeong-hun, Shi Shi, Michael Wong, Dylan Kuo","Mandarin, English, Russian, Mongolian, Spanish","China, Hong Kong, Netherlands, United States"
The Masked Saint,2016.0,3103166,Warren P. Sonoda,4.7,779.0,,"$3,500,000 (estimated)","Action, Biography, Crime, Drama, Fantasy","Brett Granstaff, Lara Jean Chorostecki, T.J. McGibbon, Diahann Carroll, Roddy Piper, James Preston Rogers, Mykel Shannon Jenkins, Patrick McKenna, Scott Nichol, Joan Gregson",English,Canada
The Man Who Knew Infinity,2015.0,787524,Matt Brown,7.2,64150.0,"$12,158,142","$10,000,000 (estimated)","Biography, Drama","Jeremy Irons, Dev Patel, Malcolm Sinclair, Raghuvir Joshi, Dhritiman Chatterjee, Stephen Fry, Arundathi Nag, Devika Bhise, Pádraic Delaney, Toby Jones","English, French, Sanskrit","United Kingdom, United States, Singapore, Hong Kong, United Arab Emirates, India"
Home Invasion,2016.0,5351000,David Tennant,5.1,4127.0,,,"Crime, Horror, Mystery, Thriller","Jason Patric, Scott Adkins, Natasha Henstridge, Liam Dickinson, Kyra Zagorsky, Michael J Rogers, Christian Tessier, Brenda Crichlow, Leanne Lapp, Johannah Newmarch",English,United States
The Cave,2005.0,402901,Bruce Hunt,5.2,42625.0,"$18,288,466","$30,000,000 (estimated)","Adventure, Horror, Sci-Fi, Thriller","Cole Hauser, Eddie Cibrian, Morris Chestnut, Lena Headey, Piper Perabo, Rick Ravanello, Daniel Dae Kim, Kieran Darcy-Smith, Marcel Iures, Vlad Radescu","English, Romanian","Germany, Australia, United States"
Yu-Gi-Oh!: The Dark Side of Dimensions,2016.0,4273562,Satoshi Kuwabara,6.8,3694.0,,,"Animation, Adventure, Drama, Fantasy","Shunsuke Kazama, Kenjirô Tsuda, Gregory Abbey, Luis Alfonso, Amy Birnbaum, Bethany Cardinal, Michael Lockwood Crouch, Daniel J. Edwards, Rina Endô, Dennis Falt","Japanese, English",Japan
